FISH,FINALWEIGHT,FINALVALUE
Amberjacks,"138,712","$150,501 "
Anglerfish (Monkfish Including Monklivers),"50,883","$47,173 "
"Blue Crabs, Hard","24,732,243","$20,738,636 "
"Blue Crabs, Peeler","445,932","$1,315,141 "
"Blue Crabs, Soft","284,768","$2,062,996 "
Bluefish,"1,148,643","$600,172 "
Bonito,"14,838","$26,780 "
Butterfish,"63,542","$31,387 "
Calico Scallop,"<15,000","<$50,000"
Carp,"27,688","$3,453 "
Catfishes,"992,439","$238,725 "
"Clams, Hard (Meats)","331,215","$2,578,120 "
"Clams, Hard (Numbers)","17,384,413",
Cobia,"48,252","$107,971 "
"Croaker,Atlantic","2,092,287","$2,216,211 "
"Cutlassfish,Atlantic","56,723","$103,316 "
"Dogfish, Smooth","178,694","$73,243 "
"Dogfish, Spiny","2,271,201","$235,069 "
Dolphinfish,"356,061","$1,271,296 "
"Drum, Black","90,055","$82,240 "
"Drum, Red","77,101","$203,003 "
"Eel, American","39,911","$88,195 "
"Flounder, Southern","899,932","$3,618,196 "
"Flounder, Summer","2,071,100","$8,238,721 "
"Flounders, Other","1,209","$3,478 "
Garfish,"16,424","$4,982 "
"Grouper, Gag","115,117","$512,231 "
"Grouper, Red","21,082","$84,893 "
"Grouper, Scamp","41,225","$190,944 "
"Grouper, Snowy","70,403","$282,182 "
"Groupers, Other","10,358","$41,105 "
Grunts,"39,843","$42,179 "
Hakes,"3,124","$2,232 "
Harvestfish (Starbutters),"123,266","$211,512 "
Hogfish (Hog Snapper),"9,195","$39,452 "
"Jacks (Crevalle, Rainbowrunner, Bluerunner)","9,714","$6,078 "
"Mackerel, Atlantic (Boston)",663,$305 
"Mackerel, King","420,869","$870,011 "
"Mackerel, Spanish","601,623","$1,068,256 "
"Menhaden,Atlantic","398,044","$73,766 "
"Mullet, Sea (Kingfishes)","834,771","$1,007,692 "
"Mullet, Striped","965,337","$669,843 "
Octopus,230,$477 
Oysters (Bushels),"126,356",
Oysters (Meats),"668,423","$4,091,155 "
"Perch, White","242,106","$166,889 "
"Perch, Yellow","29,405","$41,609 "
Pigfish,"15,424","$7,602 "
Pinfish,404,$138 
Pompano,"18,601","$44,092 "
Porgies,"47,319","$83,923 "
Pufferfish,"4,567","$2,109 "
"Scallop,Sea (Meats)","171,159","$1,995,270 "
Scup,"111,908","$72,871 "
Sea Basses,"424,051","$1,346,245 "
"Seatrout, Spotted","254,590","$662,608 "
"Shad, American","62,245","$88,729 "
"Shad, Gizzard","174,222","$30,489 "
"Shad, Hickory","96,121","$29,309 "
Sharks,"951,814","$403,736 "
Sheepshead,"93,513","$116,510 "
Shrimp (Heads On),"13,200,643","$28,261,523 "
Skates,"25,488","$4,905 "
Skippers,"12,861","$4,030 "
"Snapper, Vermilion (Beeliner)","270,446","$924,351 "
"Snappers, Other","9,598","$33,839 "
Spadefish,"15,231","$9,189 "
Spot,"241,044","$301,677 "
Squid,"45,841","$40,683 "
Stone Crabs,"7,908","$21,594 "
Striped Bass,"146,189","$432,127 "
Swordfish,"445,415","$1,202,276 "
"Tilefish, Blueline","75,536","$242,806 "
"Tilefish, Other","36,252","$153,007 "
Triggerfish,"135,545","$356,211 "
"Tuna, Bigeye","287,442","$1,037,207 "
"Tuna, Bluefin","156,198","$517,114 "
"Tuna, Yellowfin","668,360","$1,410,177 "
"Tunas, Other","102,854","$119,272 "
"Tunny, Little (False Albacore)","233,501","$110,271 "
Unclassified Fish For Industrial/Bait,"53,475","$33,444 "
Unclassified Fish for Food,"87,137","$105,650 "
Unclassified Shellfish,"96,923","$119,615 "
Wahoo,"25,393","$93,872 "
Weakfish (Grey Trout),"79,667","$120,585 "
Whelks/Conchs (Meats),"76,249","$191,124 "
,,
,,
