County,Year,Pounds,Value
Beaufort,2023,1335002,1941376
Bertie,2023,0,0
Brunswick,2023,822461,3008177
Camden,2023,2212816,2779126
Carteret,2023,7133881,14556960
Chowan,2023,858439,355477
Craven,2023,277024,546497
Currituck,2023,1980816,2503889
Dare,2023,10799962,20273193
Hertford,2023,NA,NA
Hyde,2023,4998219,7618659
Inland Counties,2023,346037,388708
New Hanover,2023,1471582,3334264
Onslow,2023,1105970,2764613
Pamlico,2023,2111140,4385129
Pasquotank,2023,582213,539727
Pender,2023,894345,2179839
Perquimans,2023,1526830,1593891
Tyrrell,2023,4209743,5151507
Washington,2023,NA,NA
Beaufort,2022,1034060,1813252
Bertie,2022,NA,NA
Brunswick,2022,768915,2836480
Camden,2022,1076378,1737338
Carteret,2022,6083212,13482026
Chowan,2022,822865,257987
Craven,2022,308887,1219196
Currituck,2022,1323243,2085477
Dare,2022,9851772,21000573
Hertford,2022,NA,NA
Hyde,2022,3728332,6719026
Inland Counties,2022,1022653,1213416
New Hanover,2022,1192169,3027112
Onslow,2022,991067,2701296
Pamlico,2022,2291413,4591467
Pasquotank,2022,NA,NA
Pender,2022,839811,2202430
Perquimans,2022,1389712,1364884
Tyrrell,2022,2244852,2360375
Washington,2022,NA,NA
Beaufort,2021,1440295,2600813
Bertie,2021,NA,NA
Brunswick,2021,1112700,3790950
Camden,2021,1835382,3779718
Carteret,2021,7302856,17674285
Chowan,2021,872702,265344
Craven,2021,313076,791718
Currituck,2021,1412362,2653862
Dare,2021,10879225,22593918
Hertford,2021,NA,NA
Hyde,2021,4407157,8984023
Inland Counties,2021,1047271,1365665
New Hanover,2021,1133479,2884073
Onslow,2021,1276216,3658302
Pamlico,2021,4107614,11050579
Pasquotank,2021,NA,NA
Pender,2021,882314,2358716
Perquimans,2021,1089089,1136325
Tyrrell,2021,3260218,4201310
Washington,2021,NA,NA
Beaufort,2020,1513641,2391462
Bertie,2020,NA,NA
Brunswick,2020,1078623,3204709
Camden,2020,1495670,2557531
Carteret,2020,7389067,16770078
Chowan,2020,921665,311424
Craven,2020,349559,678947
Currituck,2020,1217624,1787323
Dare,2020,12311157,18790150
Hertford,2020,0,0
Hyde,2020,4820304,8214279
Inland Counties,2020,168230,374686
New Hanover,2020,1248900,2790606
Onslow,2020,1280782,3536792
Pamlico,2020,4177019,9157743
Pasquotank,2020,412012,494551
Pender,2020,859216,2040403
Perquimans,2020,1040509,1152928
Tyrrell,2020,2695701,3276519
Washington,2020,NA,NA
Beaufort,2019,2279622,2378045
Bertie,2019,NA,NA
Brunswick,2019,1652079,4878701
Camden,2019,2884898,3456794
Carteret,2019,7440927,18663688
Chowan,2019,989991,300643
Craven,2019,373948,657717
Currituck,2019,1643501,1851977
Dare,2019,13967431,19823927
Hertford,2019,NA,NA
Hyde,2019,6454595,9210140
Inland Counties,2019,119331,331813
New Hanover,2019,1477291,3022185
Onslow,2019,2058937,5369638
Pamlico,2019,4239713,9040913
Pasquotank,2019,625129,688648
Pender,2019,778964,1625648
Perquimans,2019,1375277,1441073
Tyrrell,2019,4779513,4100869
Washington,2019,0,0
Beaufort,2018,2096939,2307721
Bertie,2018,NA,NA
Brunswick,2018,1113915,3278621
Camden,2018,2363115,2736295
Carteret,2018,6743677,16597862
Chowan,2018,792796,299936
Craven,2018,389913,629376
Currituck,2018,1344051,1571343
Dare,2018,12619148,19271530
Hertford,2018,NA,NA
Hyde,2018,6385772,10817966
Inland Counties,2018,114572,241251
New Hanover,2018,1036233,2236024
Onslow,2018,1460036,3582051
Pamlico,2018,3726906,8051828
Pasquotank,2018,672481,796834
Pender,2018,609985,1354538
Perquimans,2018,1612047,1922785
Tyrrell,2018,2684793,2149152
Washington,2018,0,0
Beaufort,2017,2489730,2636031
Bertie,2017,NA,NA
Brunswick,2017,1648618,4558704
Camden,2017,2916790,3884037
Carteret,2017,8682629,20660552
Chowan,2017,735952,304320
Craven,2017,324944,442415
Currituck,2017,1416051,1699968
Dare,2017,14138748,23683749
Hertford,2017,NA,NA
Hyde,2017,7316600,12818311
Inland Counties,2017,158370,332580
New Hanover,2017,1259341,2699377
Onslow,2017,2316563,5794726
Pamlico,2017,4281749,9919977
Pasquotank,2017,892232,1154145
Pender,2017,845685,1929209
Perquimans,2017,1570223,1770108
Tyrrell,2017,3430334,2397800
Washington,2017,0,0
Beaufort,2016,2404104,3224480
Bertie,2016,NA,NA
Brunswick,2016,1669337,4519352
Camden,2016,3371202,3696546
Carteret,2016,7999971,18219584
Chowan,2016,685110,237713
Craven,2016,391139,518017
Currituck,2016,1542398,1677367
Dare,2016,16100333,21279105
Hertford,2016,NA,NA
Hyde,2016,7860845,12864331
Inland Counties,2016,185001,355267
New Hanover,2016,1254588,2411557
Onslow,2016,2568549,6574507
Pamlico,2016,4415991,10592524
Pasquotank,2016,1552129,1631780
Pender,2016,892147,1808730
Perquimans,2016,1388517,1632778
Tyrrell,2016,4714422,2928358
Washington,2016,NA,NA
Beaufort,2015,4495364,4932428
Bertie,2015,NA,NA
Brunswick,2015,1278243,3204982
Camden,2015,5446271,5343108
Carteret,2015,8661886,18307561
Chowan,2015,591584,219963
Craven,2015,498110,710452
Currituck,2015,1914901,2196555
Dare,2015,18184762,20975965
Hertford,2015,15305,7175
Hyde,2015,6753795,10981681
Inland Counties,2015,200443,351430
New Hanover,2015,1071911,2094550
Onslow,2015,1822159,6034795
Pamlico,2015,4054267,8503740
Pasquotank,2015,1923425,2028290
Pender,2015,891802,1724204
Perquimans,2015,1738222,2226655
Tyrrell,2015,6427149,4922453
Washington,2015,0,0
Beaufort,2014,3249440,4403721
Bertie,2014,NA,NA
Brunswick,2014,1112667,2909351
Camden,2014,4630240,6091805
Carteret,2014,7299214,14583443
Chowan,2014,446182,199679
Craven,2014,389014,608256
Currituck,2014,2079441,2944797
Dare,2014,22252532,26596445
Hertford,2014,NA,NA
Hyde,2014,5239588,10352880
Inland Counties,2014,219048,367843
New Hanover,2014,1252362,2386070
Onslow,2014,1706415,4639413
Pamlico,2014,2543438,6568849
Pasquotank,2014,1989500,2660992
Pender,2014,830158,1611802
Perquimans,2014,1693013,2560722
Tyrrell,2014,5072978,4727104
Washington,2014,0,0
